...1,spotify_id,youtube_id,project_name,artist,project_type,tracks,year,rating,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit
950,1CZoKzEgq1ut388QAXf0NH,7jZ7aMkv59U,hokey fright,the uncluded,album,18,2013,7,0.25319833333333336,0.56466666666666665,0.7167222222222223,0.05690841222222222,0.17501666666666668,-5.838555555555556,0.10022222222222223,0.49816666666666665,120.16655555555556,0.6111111111111112
951,4WnkQO4xD9ljQooB3VIxCV,plxG23-nifs,comedown machine,the strokes,album,11,2013,5,0.13150115454545455,0.5702727272727273,0.7188181818181818,0.4244727272727273,0.1764909090909091,-7.5929090909090915,0.03890909090909091,0.5013636363636363,117.008,0
952,5T5NM01392dvvd4EhGrCnj,5uvj_3nd5kY,...like clockwork,queens of the stone age,album,10,2013,9,0.1813991,0.4121,0.6921,0.058657350000000004,0.25454,-5.9643,0.05326,0.3626,129.3401,0.2
953,4C8VqFE4h4KWIsbAViqIby,7UkObDLYo1Y,fetch,melt-banana,album,12,2013,9,0.087133205,0.36291666666666667,0.9129166666666667,0.6599816666666667,0.2598333333333333,-5.671666666666667,0.141675,0.2855,125.44258333333333,0
954,3JhMmVL9ISUnRaVbrJ72OB,aqANxjB58wA,loud city song,julia holter,album,9,2013,8,0.3914111111111111,0.37244444444444447,0.3592666666666667,0.15494824444444444,0.12972222222222224,-12.208333333333332,0.044755555555555555,0.17782222222222221,116.43266666666666,0
955,6uvdXVgHsioxRIo0cFnkD7,kVZXrqUYKyA,6 feet beneath the moon,king krule,album,14,2013,7,0.6068785714285714,0.5372857142857143,0.5222142857142857,0.02032777142857143,0.2672714285714286,-9.338071428571428,0.1013,0.22674285714285713,111.957,0
956,3hVzkA43GoKicPTs5rDr0u,sEVQ4ZFxZxM,one of us is the killer,the dillinger escape plan,album,11,2013,8,3.6724545454545454e-4,0.2747272727272727,0.9455454545454546,0.09460114545454545,0.2747909090909091,-4.435,0.23903636363636363,0.11947272727272727,142.4340909090909,0.2727272727272727
957,6Yl951bwCSY70QjvLm1AEG,tJqnPRuIdmQ,push the sky away,nick cave and the bad seeds,album,9,2013,5,0.68966666666666665,0.434,0.3078888888888889,0.10215533333333333,0.12898888888888888,-14.540666666666667,0.047933333333333335,0.29902222222222224,99.88355555555556,0
958,5FP9keIJnlSCKnkdVOf623,JSjc0XzeImg,born sinner,j. cole,album,21,2013,5,0.28151190476190474,0.597952380952381,0.6878571428571428,0.004220230476190476,0.25147619047619046,-7.787809523809524,0.25630000000000003,0.4219,125.44214285714285,1
959,0V2ApMkgurWGcF0sc0u17w,YUJdtb1j1jM,something else,tech n9ne,album,21,2013,4,0.25219380952380954,0.5638095238095238,0.6395809523809524,6.11237619047619e-4,0.38285714285714284,-10.460238095238095,0.26045714285714283,0.4084,117.80280952380953,1
960,2bUfgacnImRM2KrsHlKK6u,nzqQJIk4TYo,hit the waves,the mary onettes,album,10,2013,7,0.21966,0.4735,0.7484,0.13755884999999998,0.21051,-6.7978000000000005,0.05739,0.40376,117.2144,0
961,4niKC11eq7dRXiDVWsTdEy,drLldJfKOGs,obsidian,baths,album,10,2013,6,0.228491,0.5857,0.5517,0.486552,0.16441,-11.8937,0.07438,0.36548,127.083,0
962,2noGB7bZxrx3Q2EB5iEdZ5,28ikdznA3lc,self-titled,factory floor,album,10,2013,6,0.2508351,0.7386,0.7552,0.7333,0.13177,-11.6526,0.10002,0.6877,137.0036,0
963,1ysjuK1TypW8UZTQgcbGFQ,OJkmhEfwrnk,flying colours,shad,album,12,2013,7,0.244825,0.5098333333333334,0.675,0.07685348666666666,0.19368333333333332,-7.841,0.20263333333333333,0.44816666666666666,93.4575,0
964,6qkzBXQvWjnyNCRDQRPpJ4,PVvK_xMD8n0,dream river,bill callahan,album,8,2013,8,0.8525,0.479875,0.33375,0.5069,0.158125,-13.73,0.04005,0.2513875,111.223625,0
965,0xNc2ff7Q6CX3wkfZ1iIMO,wxH8Q4b-0gg,dour candy,billy woods,album,15,2013,7,0.2589626666666667,0.6026666666666667,0.6877333333333333,4.658866666666667e-5,0.23985333333333334,-8.9182,0.30666,0.5569333333333334,112.18246666666667,1
966,2GbdKYnwbDn7KV37EcVQN1,3Ckbk-P7JxM,the underground resistance,darkthrone,album,6,2013,6,1.2783333333333333e-5,0.185,0.9688333333333333,0.21496666666666667,0.14896666666666666,-3.804666666666667,0.13185,0.0963,129.12033333333335,0
967,51M3dERfSRwM7xhk8SezRy,GINcxJ20efI,return to annihilation,locrian,album,7,2013,6,0.06385714285714286,0.2064,0.3931428571428571,0.8888571428571429,0.2118,-10.877142857142857,0.04244285714285714,0.08868571428571428,106.31328571428571,0
968,2Qs1H2KjF6Bk2lSgFjQpOj,FRHf92JDVSQ,is survived by,touché amoré,album,12,2013,8,0.08075305833333334,0.26016666666666666,0.8079166666666667,0.09991888333333333,0.19160833333333332,-5.559083333333333,0.05375833333333333,0.34886666666666666,124.45033333333333,0
969,2vYfh6far4SNw1WQ0qMknS,Aq-kK9XNebo,things that happen at day / things that happen at night,milo,ep,13,2013,8,0.5496,0.5618461538461539,0.5386153846153846,2.463e-4,0.18669230769230769,-10.803615384615384,0.3146846153846154,0.2929230769230769,116.059,1
970,250c4E9Zot28XDVbUDbnyO,rwZLiOQbEPM,self-titled,arabrot,album,16,2021,6,0.12696999375,0.40650000000000003,0.7730625,0.4650556875,0.26280625,-8.43925,0.18954375,0.339175,110.22206249999999,0
